"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000001";"1";"32";"Quotas ou quinhões de capital";"8360 QUOTAS DE CAPITAL SOCIAL DA EMPRESA MARMUDE CAMELI, CNPJ 04.061.171/0001-26";"8360,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000001";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL HILUX CD,";"143000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000058";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMINHÃO MERCEDES-BENZ, MODELO 2726, ANO 2010";"150000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000001";"3";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"POUPEX BANCO DO BRASIL";"148,84";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000001";"4";"61";"Depósito bancário em conta corrente no País";"SALDO EM CONTA BANCÁRIA (BANCO DO BRASIL)";"937,91";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000001";"5";"61";"Depósito bancário em conta corrente no País";"SALDO EM CONTA BANCÁRIA (BANCO DO BRASIL) CONTA 278219-7";"4152,12";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000001";"6";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL TOYOTA HILUX, PLACA NXS-1122";"148393,20";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000001";"7";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL FIAT UNO MILLE, MZO-8795";"18500,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000001";"8";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL GOL, MZQ-7284";"28900,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000001";"9";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL MERCEDES-BENZ, JHW-9891";"82000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000001";"10";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL BMW";"80000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000003";"1";"63";"Dinheiro em espécie - moeda nacional";"DINHEIRO EM ESPÉCIE";"651900,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000003";"2";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"BB RF LP PREMIUM EST";"120042,04";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000003";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL FRONTIER";"125000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000003";"4";"61";"Depósito bancário em conta corrente no País";"SALDO EM CONTA CORRENTE, BANCO DO BRASIL";"44455,85";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000003";"5";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL FOX 1.6, PRATA, PLACA JGT-9382";"33000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000003";"6";"11";"Apartamento";"APTO. NO RESIDENCIAL BURITI, EM RIO BRANCO-AC";"500000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000025";"2";"2";"Prédio comercial";"EM ALVENARIA MEDINDO 13 X 19";"100000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000003";"7";"61";"Depósito bancário em conta corrente no País";"SALDO EM CONTA NO BANCO ITAÚ";"50873,05";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000003";"8";"61";"Depósito bancário em conta corrente no País";"SALDO EM CONTA NO BANCO DO BRASIL CP ESTILO";"2131,99";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000033";"1";"12";"Casa";"EM ALVENARIA";"600000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000003";"9";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"BB REF DI PLUS EST";"52321,38";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000031";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VW GOL 1.6 ANO 2011/2012 PLACA NXR 3730";"35000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000031";"3";"49";"Outras aplicações e Investimentos";"50% DO CAPITAL SOCIAL EMPRESA ARAUJO E OLIVEIRA LTDA";"50000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000053";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"SPACE FOX";"45000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000054";"3";"11";"Apartamento";"RESIDENCIAL";"400000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AC";"AC";"ACRE";"10000000004";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMINHÃO, MERCEDES-BENZ 1513, ANO 1978";"40000,00";"12/07/2018";"16:36:00"
