"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000002";"1";"11";"Apartamento";"APARTAMENTO";"120000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000002";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL MODELO VECTRA";"30000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000002";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL MODELO HB20";"40000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000003";"1";"12";"Casa";"IMÓVEL, COM DOIS QUARTOS";"100000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000004";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL MODELO CORSA";"10000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000004";"2";"12";"Casa";"IMÓVEL LOCALIZADO NO BAIRRO ZUMBI, COM 2 QUARTOS, 1 BANHEIRO E GARAGEM";"80000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000005";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL, COR VERMELHA, MODELO GOL";"10000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000006";"1";"12";"Casa";"IMÓVEL, DOIS QUARTOS E GARAGEM";"80000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000006";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CORSA, COR PRETA";"10000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000007";"1";"12";"Casa";"SALA, COZINHA, QUARTO E BANHEIRO";"35000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000008";"1";"12";"Casa";"UM QUARTO, UMA SALA, UMA COZINHA E UM BANHEIRO";"35000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000009";"1";"12";"Casa";"SALA, COZINHA, DOIS QUARTOS E BANHEIRO";"35000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000021";"1";"12";"Casa";"SITO A RUA EPHIGÊNIO SALLES, 12477, CASA 112";"550000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000022";"1";"12";"Casa";"CASA, SITO A RUA CORONEL JUVENCIO SORIANO, 3048, SÃO JOSÉ, MANACAPURU";"100000,00";"12/07/2018";"16:36:00"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";"40000000022";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MODELO FRONTIER, 2013";"87000,00";"12/07/2018";"16:36:00"
