"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000001";"1";"11";"Apartamento";"APARTAMENTO FINANCIADO COM CÔNJUGUE";"170000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000002";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTOCICLETA HONDA TITAN 2009";"5500,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000002";"2";"59";"Outros créditos e poupança vinculados";"CONTA POUPANÇA PESSOAL";"12500,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000011";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL (UNO) MARCA FIAT, 2008, FINANCIADO EM 48 PARCELAS";"15000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000014";"1";"12";"Casa";"IMÓVEL RESIDÊNCIAL";"70000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000014";"2";"13";"Terreno";"TERRENO";"5000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000017";"1";"13";"Terreno";"SITIO  BROTAS DO AMOR  COM UMA CASA RESIDÊNCIAL, DE 23000M2";"250000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000021";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL, MODELO SANDERO STEPWAY, RENAULT";"33000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000023";"1";"12";"Casa";"IMÓVEL RESIDÊNCIAL";"30000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000023";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL MODELO F-4000 ANO 1997";"30000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000023";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL SAVEIRO ANO 1995";"12000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000024";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL ( UNO MILLE ) FIAT.";"8000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000025";"1";"29";"Outros bens móveis";"PONTO COMERCIAL";"30000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000027";"1";"12";"Casa";"IMÓVEL RESIDÊNCIAL, BOTUPORA";"30000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000027";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL FIAT UNO 1996";"10000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000027";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO CG 150 2008";"4000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000027";"4";"12";"Casa";"IMÓVEL RESIDÊNCIAL, LOCALIZADO NA SEDE DOS DISTRITO DE L CLARA MACAÚBAS, BA";"6000,00";"12/07/2018";"16:35:46"
