"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000001";"1";"61";"Depósito bancário em conta corrente no País";"SALDO";"20000,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000002";"1";"12";"Casa";"ÍMOVEL FINANCIADO NA RUA TREZENTOS, QUADRA 03, CASA 12-A";"200000,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000021";"1";"19";"Outros bens imóveis";"DECORRENTE DE LITÍGIO JUDICIAL";"80074,14";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000021";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MARCA FIAT, GASOLINA, COR PRETA, 4 PORTAS, 1.6";"15752,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000021";"3";"69";"Outros depósitos à vista e numerário";"MANTIDO NO PAÍS";"140000,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000021";"4";"61";"Depósito bancário em conta corrente no País";"MANTIDO JUNTO À CEF";"49,21";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000021";"5";"39";"Outras participações societárias";"EMPRESAS SITUADAS NO PAÍS";"73300,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000021";"6";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"MANTIDO NO BRADESCO";"1800,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000021";"7";"95";"Consórcio não contemplado";"CONTRATADO JUNTO AO BANCO BRADESCO";"31990,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000021";"8";"25";"Jóia, quadro, objeto de arte, de coleção, antiguidade, etc.";"MANTIDO NO PAÍS";"14000,00";"12/07/2018";"16:35:38"
