"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PE";"PE";"PERNAMBUCO";"170000000011";"1";"12";"Casa";"IMOVÉL RESIDENCIAL";"40000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PE";"PE";"PERNAMBUCO";"170000000011";"2";"29";"Outros bens móveis";"VEÍCULO COROLA 1.8 - 1994";"12000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PE";"PE";"PERNAMBUCO";"170000000012";"1";"12";"Casa";"RUA JOÃO SEBASTIÃO DE MELO, N. 108, VILA RICA, RIBEIRÃO-PE";"50000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PE";"PE";"PERNAMBUCO";"170000000014";"1";"11";"Apartamento";"IMÓVEL DE 130M²";"500000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PE";"PE";"PERNAMBUCO";"170000000014";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL FIAT UNO 2012";"20000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PE";"PE";"PERNAMBUCO";"170000000015";"1";"12";"Casa";"IMÓVEL RESIDENCIAL SITO À RUA RECIFE, N. 43-C, LOTEAMENTO: ITAPOÃ, ITAMACARÁ-PE";"18500,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PE";"PE";"PERNAMBUCO";"170000000016";"1";"29";"Outros bens móveis";"VEÍCULO - VW GOL ANO 2013";"38000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PE";"PE";"PERNAMBUCO";"170000000016";"2";"19";"Outros bens imóveis";"CASA RESIDENCIAL";"100000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PE";"PE";"PERNAMBUCO";"170000000018";"1";"12";"Casa";"AVOS DA CASA RESIDENCIAL SITO A RUA CEL CORNELIO SOARES, N. 370, CENTRO, SERRA TALHADA, ADQUIRIDA POR HERANÇA COMPRA E DOAÇÃO";"12000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PE";"PE";"PERNAMBUCO";"170000000018";"2";"13";"Terreno";"TERRENO RURAL COM 36,3 HA DENOMINADO RANCHO MUCAJAI, 10, DISTRITO DE SERRA TALHADA-PE.  EM NOME DA MENOR MARIANA HOLLANDA NEIVA NOVAES, REGISTRO R6. LV. 2L, PROTOCOLO 35151/96 - CARTÓRIO 10 - OFÍCIO.";"2000,00";"12/07/2018";"16:35:44"
