"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PI";"PI";"PIAUÍ";"180000000001";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO GOL 2012/2013 1.0";"28000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PI";"PI";"PIAUÍ";"180000000001";"2";"11";"Apartamento";"2 QUARTOS 51M2";"108000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PI";"PI";"PIAUÍ";"180000000002";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"GOL";"15000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PI";"PI";"PIAUÍ";"180000000002";"2";"11";"Apartamento";"APARTAMENTO";"50000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PI";"PI";"PIAUÍ";"180000000003";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"SANDERO";"20000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PI";"PI";"PIAUÍ";"180000000003";"2";"12";"Casa";"CASA NO MOCAMBINHO";"150000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PI";"PI";"PIAUÍ";"180000000007";"1";"11";"Apartamento";"APARTAMENTO NO SANTA MONICA";"200000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PI";"PI";"PIAUÍ";"180000000007";"2";"13";"Terreno";"TERRENO EM PARNAIBA";"10000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PI";"PI";"PIAUÍ";"180000000008";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CORSA MAXX 2010";"24000,00";"12/07/2018";"16:35:44"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PI";"PI";"PIAUÍ";"180000000009";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"GOL 1.0 2012";"20000,00";"12/07/2018";"16:35:44"
