"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000002";"1";"11";"Apartamento";"1/3 DO APARTAMENTO N. 123 DA RUA GUILHERME PUGSLEY, CURITIBA";"60000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000002";"2";"11";"Apartamento";"APARTAMENTO N. 308 EM CONSTRUÇÃO RUA 29 DE JUNHO, CURITIBA-PR";"55146,44";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000003";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FOR ECOSPORT 2005/2006, PLACA MFE 5580";"24000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000003";"2";"41";"Caderneta de poupança";"CADERNETA DE POUPANÇA BB";"5520,97";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000007";"1";"61";"Depósito bancário em conta corrente no País";"DEPÓSITO BB";"3585,70";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000009";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEÍCULO SIENA ELX, 2001";"13710,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000010";"1";"32";"Quotas ou quinhões de capital";"QUOTAS DE EXTRELA DALVA SERVIÇOS PUBLICITÁRIOS";"5000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000011";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VW PARATI GL 1.8 1998/1999";"10000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000012";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VOLKSVAGEM PARATI 1999";"11000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000012";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FORD BELINA 1983";"2000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000013";"1";"11";"Apartamento";"APARTAMENTO AMEADO COM O CÔNJUJE";"60000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000013";"2";"61";"Depósito bancário em conta corrente no País";"DEPÓSITO";"11668,14";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000013";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"LONGAN  2009/2010";"16000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000013";"4";"49";"Outras aplicações e Investimentos";"ITAÚ E BB";"49020,67";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000013";"5";"29";"Outros bens móveis";"COMPUTADORES E ELETRÔNICOS";"18000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000015";"1";"12";"Casa";"IMÓVEL URBANO DE 120M² RUA ADRELINA PATRÍCIA";"240000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000015";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMINHONETE HILUX 2009";"50000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000016";"1";"12";"Casa";"CASA RUA ANTONIO DE CASTRO";"30000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000016";"2";"29";"Outros bens móveis";"32 UNIDADES DE GADO BOVINO";"20000,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000018";"1";"13";"Terreno";"UM IMOVEL RESIDENCIAL SITO NA RUA JOSE PAVAN S/N REG. CRI 11.821";"15600,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000018";"2";"13";"Terreno";"UM TERRENO SITO NA RUA DOIS DE ALBRIL S/N REG. CRI NO 11.503";"850,00";"12/07/2018";"16:36:11"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"PR";"PR";"PARANÁ";"160000000018";"3";"13";"Terreno";"50% DE IMOVEL COMERCIAL SITO NA RUA CORONEL BATISTA S/N REG. CRI NO 10.198";"13010,00";"12/07/2018";"16:36:11"
