"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000001";"1";"12";"Casa";"IMÓVEL NA RUA TARCE MENEZES DE FREITAS - DUQUE DE CAXIAS/RJ";"70000,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000001";"2";"41";"Caderneta de poupança";"BANCO ITAÚ";"167711,21";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000001";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO HONDA ANO 2009";"6500,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000001";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL CHEVROLET - CAPTIVA";"90000,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000001";"5";"41";"Caderneta de poupança";"CAIXA ECONÔMICA FEDERAL";"329804,87";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000001";"6";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL CHEVROLET - SONIC";"51200,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000002";"1";"11";"Apartamento";"APARTAMENTO DE 2 QUARTOS NA RUA SEN. MOURÃO VIEIRA N. 286 - RAMOS - RJ";"100000,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000002";"2";"41";"Caderneta de poupança";"BANCO BRADESCO";"800,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000003";"1";"11";"Apartamento";"APT 205 DO BLOCO SAND DENOMINADO OCEAN GARDEN CONDOMINIUM CLUB";"117867,03";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000003";"2";"26";"Linha telefônica";"512-7016 (105 - BRASIL)";"1368,65";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000003";"3";"26";"Linha telefônica";"EM BUZIOS";"1311,65";"12/07/2018";"16:36:14"
