"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000001";"1";"12";"Casa";"IMÓVEL RESIDENCIAL EM PACARAIMA RR";"215539,83";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000001";"2";"19";"Outros bens imóveis";"IMÓVEL RURAL SITUADO NA REGIAO DO AMAJARI RR, 1895 HA";"211000,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000001";"3";"22";"Aeronave";"PT - OMY ANO 1980,";"97127,48";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000001";"4";"92";"Título de clube e assemelhado";"TITULO PROPRIETÁRIO IATE CLUBE BOA VISTA";"566,77";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000001";"5";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VW PARATI,";"52289,28";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000002";"1";"12";"Casa";"CASA SITUADA A SHIN QI 11 CONJUNTO 02 CASA 03 - LAGO NORTE - BRASILIA/DF";"293904,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000002";"2";"13";"Terreno";"TERRENO SITUADO A AV. GETULIO VARGAS, PRACA DA BANDEIRA - BOA VISTA/RR.";"40411,80";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000002";"3";"19";"Outros bens imóveis";"FAZENDA COM 4000 HECTARES E 300 RESES DE GADO VACUM, SITUADA A 40 KM DA SEDE DO MUNICIPIO DE BOA VISTA/RR.";"355134,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000002";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO MARCA VOLKSWAGEN, MODELO PARATI TOUR, ANO DE FABRICACAO 2001, ANO MODELO 2002, COR PRATA PLANETE, CHASSI 9BWDA05X42T03744";"24777,78";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000002";"5";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO GM/CHEVROLET, CAMIONETE S/10, 2.4 D, CABINE DUPLA, ANO 2002/2002, COR PRETA";"32000,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000002";"6";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO MARCA VW, MODELO KOMBI STANDARD, COR BRANCO GLACIAL, GASOLINA, ANO: 2005, MODELO 2006, PLACA: JXY 6218";"35980,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000002";"7";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO MARCA GM, MODELO S 10 CD 04 PORTAS, GASOLINA, COR PRATA POLARIS, ANO 2005, MODELO 2006, PLACA: JWZ 3951,";"48890,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000002";"8";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO GM, D 20, COMBUSTIVEL DIESEL, COR VERMELHA, ANO 1989, MODELO 1989, PLACA: NAH 0968 RR";"18000,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000002";"9";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO GM, CELTA, COR PRATA, COMBUSTIVEL GASOLINA, ANO 2002, MODELO 2002, PLACA: NAL 2233 RR.";"6000,00";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000002";"10";"12";"Casa";"CASA 03, DO CONJUNTO 11, DA QUADRA 03, DO TRECHO 01, DO SETOR HABITACIONAL TAQUARI (SHTQ), BAIRRO: LAGO NORTE - BRASILIA/DF";"214080,28";"12/07/2018";"16:36:14"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RR";"RR";"RORAIMA";"230000000003";"1";"19";"Outros bens imóveis";"1/2 DE 2 IMOVEIS RUA XV DE NOVEMBRO, 150 E 164 - SAO PAULO - SP";"1586331,89";"12/07/2018";"16:36:14"
