"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000001";"1";"13";"Terreno";"59% DE UMA ÁREA DE TERRA COM 30.000 M2 DENOMINADA APANHADOR LOCALIZADA NO DISTRITO DE JUA, NO MUNICÍPIO DE SÃO FRANCISCO DE PAULA";"5000,00";"12/07/2018";"16:36:17"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000001";"2";"11";"Apartamento";"1 APARTAMENTO N.101 E BOX 31 SITUADO NA CONSELHEIRO DANTAS, N. 191 COM ÁREA TOTAL DE 116,67M2 ADQUIRIDO DE SOLIVAN PADILHA PESCADOR CPF 24872849000.";"148000,00";"12/07/2018";"16:36:17"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000001";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"1 AUTOMÓVEL FORD/FIESTA 1.6 FLEX COR PRETA ANO 2009 MODELO 2010 ADQUIRIDO EM 14/12/2009 DE FORD MOTOR COMPANY BRASIL LTDA CNPJ 03470727/001607 CFE NOTA FISCAL 53.708";"29801,72";"12/07/2018";"16:36:17"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000001";"4";"61";"Depósito bancário em conta corrente no País";"SALDO EM CONTA CORRENTE BANRISUL";"1,00";"12/07/2018";"16:36:17"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000001";"5";"61";"Depósito bancário em conta corrente no País";"SALDO EM CONTA CORRENTE CAIXA ECONOMICA FEDERAL";"2039,00";"12/07/2018";"16:36:17"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000001";"6";"41";"Caderneta de poupança";"CONTA DE POUPANÇA NO BANRISUL S/A";"35951,23";"12/07/2018";"16:36:17"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000001";"7";"41";"Caderneta de poupança";"CONTA POUPANÇA NA CAIXA ECONOMICA FEDERAL";"5225,66";"12/07/2018";"16:36:17"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000001";"8";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"APLICAÇÃO DE RENDA FIXA NO BANRISUL S/A";"49288,90";"12/07/2018";"16:36:17"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000001";"9";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"LETRA DE CREDITO IMOBILIÁRIO - BANRISUL";"30000,00";"12/07/2018";"16:36:17"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000001";"10";"13";"Terreno";"01 TERRENO COM CASA, CFE ESCRITURA PÚBLICA N. 18311-67 DE 14/07/1982";"154409,30";"12/07/2018";"16:36:17"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000001";"11";"11";"Apartamento";"01 APARTAMENTO SITUADO NA AV. BORGES DE MEDEIROS, 3200/1805 EM POA/RS FINANCIADO ATRAVÉS DO BANRISUL S/A CNPJ 92.702.067/0001-96";"51104,83";"12/07/2018";"16:36:17"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RS";"RS";"RIO GRANDE DO SUL";"210000000002";"1";"11";"Apartamento";"APARTAMENTO SITUADO NA AV. ASSIS BRASIL, 280 APTO. 220 - BAIRRO SÃO JOÃO- POA/RS";"34699,04";"12/07/2018";"16:36:17"
