"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000001";"1";"11";"Apartamento";"50% (POR CENTO) DE APTO.NO BAIRRO JARDINS, SITUADO A RUA ORLANDO MAGALHAES MAIA, 1330, APTO 501";"300000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000001";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMIONETE FORD ANO 2010/2011";"40000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000004";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL FIAT SIENA, ANO 2006, FINANCIADO";"15000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000005";"1";"12";"Casa";"RESIDÊNCIA NA RUA MANOEL ANDRADE, BAIRRO COROA DO MEIO EM ARACAJU.";"350000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000005";"2";"13";"Terreno";"TERRENO COM 450 M2";"250000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000005";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FORD FIESTA SEDAN, FINANCIADO";"38000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000005";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"REBOQUE COM CARROCERIA ABERTA";"2500,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000005";"5";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"BUGGY MODELO ABAIS, ANO 1978.";"1000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000005";"6";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL MODELO SPIN LT, FINANCIADO, VALOR PAGO ATÉ 30/04/2014 33.300,00.";"33300,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000007";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL GOL ANO 2004";"12000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000009";"1";"12";"Casa";"DUAS CASAS NA RUA SIFRONIO CECÍLIO DOS SANTOS, N° 319 E 321, TOBIAS BARRETO";"120000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000009";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UMA MOTO 125 CC, ANO 2014.";"6000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000010";"1";"12";"Casa";"2 CASAS NA RUA SINFRÔNIO CECÍLIO DOS SANTOS, N° 319 E 321";"120000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000012";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT SIENA ANO 2007";"20000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000013";"1";"12";"Casa";"CASA NA RUA SÃO TIAGO, 74, BARRA DOS COQUEIROS.";"20000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000013";"2";"29";"Outros bens móveis";"BICICLETA CALOI, MODELO ELITE 2.4, ANO 2009";"900,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000017";"1";"12";"Casa";"CASA NO CONJ. MARCOS FREIRE I EM NOSSA SENHORA DO SOCORRO";"80000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000017";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL PALIO ANO 2004";"12000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000020";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CROSSFOX ANO 2009.";"23000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"1";"19";"Outros bens imóveis";"UM IMOVEL COMERCIAL COM DOIS ANDARES, NO MUNICIPIO DE ITABAIANA";"100000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"2";"12";"Casa";"UMA CASA NA RUA B1, NO CONJ. EDUARDO GOMES";"30000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"3";"19";"Outros bens imóveis";"UMA CASA NA RUA A1, CONJ EDUARDO GOMES.";"60000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"4";"19";"Outros bens imóveis";"UM IMOVEL COMERCIAL NA RUA 42, NO CONJUNTO EDUARDO GOMES";"250000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"5";"19";"Outros bens imóveis";"IMOVEL COMERCIAL NA RUA 43, CONJ EDUARDO GOMES.";"50000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"6";"19";"Outros bens imóveis";"GALPÃO PARA USO COMERCIAL NA RUA C, CONJ. EDUARDO GOMES";"70000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"7";"13";"Terreno";"TERRENO NA RUA C, LOTEAMENTO JD LORETO";"25000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"8";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"GOL ANO 97";"5000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"9";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"KOMBI ANO 81";"4000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"10";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"BELINA ANO 89";"1500,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"11";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO HONDA 2009";"2000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000022";"12";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO HONDA 2007";"2000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000025";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO PRISMA 2011 PLACA POLICIAL NVM 8089";"37000,00";"12/07/2018";"16:35:39"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"SE";"SE";"SERGIPE";"260000000027";"1";"11";"Apartamento";"UM (01) APARTAMENTO NO BAIRRO ATALAIA, CONDOMINIO MAR AZUL";"165000,00";"12/07/2018";"16:35:39"
