"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"TO";"TO";"TOCANTINS";"270000000002";"1";"12";"Casa";"CASA PRÓPRIA";"350000,00";"12/07/2018";"16:36:16"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"TO";"TO";"TOCANTINS";"270000000002";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO";"7000,00";"12/07/2018";"16:36:16"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"TO";"TO";"TOCANTINS";"270000000003";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO PASSEIO";"42000,00";"12/07/2018";"16:36:16"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"TO";"TO";"TOCANTINS";"270000000003";"2";"12";"Casa";"CASA FINANCIADA";"90000,00";"12/07/2018";"16:36:16"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"TO";"TO";"TOCANTINS";"270000000004";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIORINO CAMINHONETE ANO 1994";"4000,00";"12/07/2018";"16:36:16"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"TO";"TO";"TOCANTINS";"270000000004";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO PASSEIO MODELO KADET GM ANO 1993";"4500,00";"12/07/2018";"16:36:16"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"TO";"TO";"TOCANTINS";"270000000006";"1";"12";"Casa";"CASA PRÓPRIA";"90000,00";"12/07/2018";"16:36:16"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"TO";"TO";"TOCANTINS";"270000000009";"1";"13";"Terreno";"LOTE URBANO N. 05, ALAMEDA 16, ARSE 92, CONJ. QI-24, COM 352M², ADQUIRIDO EM 1994";"105600,00";"12/07/2018";"16:36:16"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"TO";"TO";"TOCANTINS";"270000000009";"2";"13";"Terreno";"LOTE URBANO N. 22, ARNE 12, QI D, C/ 360M² ADQUIRIDO EM 1994";"199464,00";"12/07/2018";"16:36:16"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"TO";"TO";"TOCANTINS";"270000000009";"3";"13";"Terreno";"LOTE 17, ARSO 42, CONJ. QI 16, ADQUIRIDO DA CODETINS EM 1993";"175500,00";"12/07/2018";"16:36:16"
